Direction,n_trades,avg_return_pct,win_rate,avg_notional
Auto-Deleveraging,8,0.3419686619174635,1.0,21188.46875
Buy,16716,0.0,0.0,1866.2836228762862
Close Long,48678,0.020467794141963844,0.8769053781995974,7851.868377706561
Close Short,36013,0.03569549149831283,0.7793852220031655,4992.666359370227
Liquidated Isolated Short,1,-0.38749839080571535,0.0,32910.88
Long > Short,57,0.0033922939273559223,0.7192982456140351,15647.756140350877
Open Long,49895,0.0,0.0,7619.429500150316
Open Short,39741,0.0,0.0,4667.342607886063
Sell,19902,0.08658978981825191,0.804190533614712,1512.8526836498845
Settlement,1,-0.03732019467828264,0.0,782.83
Short > Long,70,0.053155404772323285,0.8714285714285714,15946.603428571429
Spot Dust Conversion,142,0.0,0.0,0.1797887323943662
